timestamp,value
1752250283712,2047
1752250283722,3222
1752250283732,3949
1752250283742,3949
1752250283752,3222
1752250283762,2046
1752250283772,871
1752250283782,144
1752250283792,144
1752250283802,871
1752250283812,2047
1752250283822,3222
1752250283832,3949
1752250283842,3949
1752250283852,3222
1752250283862,2046
1752250283872,871
1752250283882,144
1752250283892,144
1752250283902,871
1752250283912,2047
1752250283922,3222
1752250283932,3949
1752250283942,3949
1752250283952,3222
1752250283962,2046
1752250283972,871
1752250283982,144
1752250283992,144
1752250284002,871
1752250284012,2047
1752250284022,3222
1752250284032,3949
1752250284042,3949
1752250284052,3222
1752250284062,2046
1752250284072,871
1752250284082,144
1752250284092,144
1752250284102,871
1752250284112,2047
1752250284122,3222
1752250284132,3949
1752250284142,3949
1752250284152,3222
1752250284162,2046
1752250284172,871
1752250284182,144
1752250284192,144
1752250284202,871
1752250284212,2047
1752250284222,3222
1752250284232,3949
1752250284242,3949
1752250284252,3222
1752250284262,2046
1752250284272,871
1752250284282,144
1752250284292,144
1752250284302,871
1752250284312,2047
1752250284322,3222
1752250284332,3949
1752250284342,3949
1752250284352,3222
1752250284362,2046
1752250284372,871
1752250284382,144
1752250284392,144
1752250284402,871
1752250284412,2047
1752250284422,3222
1752250284432,3949
1752250284442,3949
1752250284452,3222
1752250284462,2046
1752250284472,871
1752250284482,144
1752250284492,144
1752250284502,871
1752250284512,2047
1752250284522,3222
1752250284532,3949
1752250284542,3949
1752250284552,3222
1752250284562,2046
1752250284572,871
1752250284582,144
1752250284592,144
1752250284602,871
1752250284612,2047
1752250284622,3222
1752250284632,3949
1752250284642,3949
1752250284652,3222
1752250284662,2046
1752250284672,871
1752250284682,144
1752250284692,144
1752250284702,871
1752250284712,2047
