timestamp,value
1752250281647,2047
1752250281657,2297
1752250281667,2544
1752250281677,2783
1752250281687,3010
1752250281697,3222
1752250281707,3416
1752250281717,3588
1752250281727,3735
1752250281737,3856
1752250281747,3949
1752250281757,4011
1752250281767,4043
1752250281777,4043
1752250281787,4011
1752250281797,3949
1752250281807,3856
1752250281817,3735
1752250281827,3588
1752250281837,3416
1752250281847,3222
1752250281857,3010
1752250281867,2783
1752250281877,2544
1752250281887,2297
1752250281897,2046
1752250281907,1796
1752250281917,1549
1752250281927,1310
1752250281937,1083
1752250281947,871
1752250281957,677
1752250281967,505
1752250281977,358
1752250281987,237
1752250281997,144
1752250282007,82
1752250282017,50
1752250282027,50
1752250282037,82
1752250282047,144
1752250282057,237
1752250282067,358
1752250282077,505
1752250282087,677
1752250282097,871
1752250282107,1083
1752250282117,1310
1752250282127,1549
1752250282137,1796
1752250282147,2047
1752250282157,2297
1752250282167,2544
1752250282177,2783
1752250282187,3010
1752250282197,3222
1752250282207,3416
1752250282217,3588
1752250282227,3735
1752250282237,3856
1752250282247,3949
1752250282257,4011
1752250282267,4043
1752250282277,4043
1752250282287,4011
1752250282297,3949
1752250282307,3856
1752250282317,3735
1752250282327,3588
1752250282337,3416
1752250282347,3222
1752250282357,3010
1752250282367,2783
1752250282377,2544
1752250282387,2297
1752250282397,2046
1752250282407,1796
1752250282417,1549
1752250282427,1310
1752250282437,1083
1752250282447,871
1752250282457,677
1752250282467,505
1752250282477,358
1752250282487,237
1752250282497,144
1752250282507,82
1752250282517,50
1752250282527,50
1752250282537,82
1752250282547,144
1752250282557,237
1752250282567,358
1752250282577,505
1752250282587,677
1752250282597,871
1752250282607,1083
1752250282617,1310
1752250282627,1549
1752250282637,1796
1752250282647,2047
