# Fault Type: three_phase
# Fault Location: feeder_4
# Date: 2025-07-28
# Time: 22:57:06
n,value
1,2047
2,3222
3,3949
4,3949
5,3222
6,2046
7,871
8,144
9,144
10,871
11,2047
12,3222
13,3949
14,3949
15,3222
16,2046
17,871
18,144
19,144
20,871
21,2047
22,3222
23,3949
24,3949
25,3222
26,2046
27,871
28,144
29,144
30,871
31,2047
32,3222
33,3949
34,3949
35,3222
36,2046
37,871
38,144
39,144
40,871
41,2047
42,3222
43,3949
44,3949
45,3222
46,2046
47,871
48,144
49,144
50,871
51,2047
52,3222
53,3949
54,3949
55,3222
56,2046
57,871
58,144
59,144
60,871
61,2047
62,3222
63,3949
64,3949
65,3222
66,2046
67,871
68,144
69,144
70,871
71,2047
72,3222
73,3949
74,3949
75,3222
76,2046
77,871
78,144
79,144
80,871
81,2047
82,3222
83,3949
84,3949
85,3222
86,2046
87,871
88,144
89,144
90,871
91,2047
92,3222
93,3949
94,3949
95,3222
96,2046
97,871
98,144
99,144
100,871
101,2047
